MEAN_POS_X,MEAN_POS_Y,MEAN_POS_Z,MEAN_ACC_X,MEAN_ACC_Y,MEAN_ACC_Z,MEAN_LINACC_X,MEAN_LINACC_Y,MEAN_LINACC_Z,MEAN_GYRO_X,MEAN_GYRO_Y,MEAN_GYRO_Z,MEAN_Heading,MEAN_Roll,MEAN_Pitch,MEAN_Pressure,MEDIAN_POS_X,MEDIAN_POS_Y,MEDIAN_POS_Z,MEDIAN_ACC_X,MEDIAN_ACC_Y,MEDIAN_ACC_Z,MEDIAN_LINACC_X,MEDIAN_LINACC_Y,MEDIAN_LINACC_Z,MEDIAN_GYRO_X,MEDIAN_GYRO_Y,MEDIAN_GYRO_Z,MEDIAN_Heading,MEDIAN_Roll,MEDIAN_Pitch,MEDIAN_Pressure,STD_POS_X,STD_POS_Y,STD_POS_Z,STD_ACC_X,STD_ACC_Y,STD_ACC_Z,STD_LINACC_X,STD_LINACC_Y,STD_LINACC_Z,STD_GYRO_X,STD_GYRO_Y,STD_GYRO_Z,STD_Heading,STD_Roll,STD_Pitch,STD_Pressure,MODE_POS_X,MODE_POS_Y,MODE_POS_Z,MODE_ACC_X,MODE_ACC_Y,MODE_ACC_Z,MODE_LINACC_X,MODE_LINACC_Y,MODE_LINACC_Z,MODE_GYRO_X,MODE_GYRO_Y,MODE_GYRO_Z,MODE_Heading,MODE_Roll,MODE_Pitch,MODE_Pressure,MAX_POS_X,MAX_POS_Y,MAX_POS_Z,MAX_ACC_X,MAX_ACC_Y,MAX_ACC_Z,MAX_LINACC_X,MAX_LINACC_Y,MAX_LINACC_Z,MAX_GYRO_X,MAX_GYRO_Y,MAX_GYRO_Z,MAX_Heading,MAX_Roll,MAX_Pitch,MAX_Pressure,MIN_POS_X,MIN_POS_Y,MIN_POS_Z,MIN_ACC_X,MIN_ACC_Y,MIN_ACC_Z,MIN_LINACC_X,MIN_LINACC_Y,MIN_LINACC_Z,MIN_GYRO_X,MIN_GYRO_Y,MIN_GYRO_Z,MIN_Heading,MIN_Roll,MIN_Pitch,MIN_Pressure,ACTIVITY
9571.777419354838,4587.984017595308,363.40117302052784,-920.516129032258,-108.58064516129032,369.741935483871,-92.83870967741936,-123.35483870967742,-7.903225806451613,23.651209677419356,43.86693548387097,-20.745967741935484,44.47782258064516,-59.247983870967744,-2.8850806451612905,93073.73387096774,9609.6,4583.272727272727,346.45,-894.0,-93.0,418.0,-81.0,-125.0,-39.0,0.3125,26.625,-6.375,44.125,-57.0,-7.25,93072.25,148.59761092668433,53.48509659403751,138.4767678795971,221.7193227134616,266.77853164420213,224.325502747226,219.3970672508627,197.57826270233556,164.09943222300916,87.8824643792088,48.54192706100262,101.94280199716043,27.609208101207948,9.481238105229956,43.872584503707394,4.190234422574592,9700.0,4550.0,200.0,-833.0,-747.0,-58.0,-975.0,-80.0,-39.0,-212.75,-6.4375,-221.0625,44.125,-57.875,-5.5625,93069.25,9745.8,4690.422727272728,611.2636363636364,-528.0,688.0,779.0,262.0,240.0,397.0,249.4375,177.1875,160.1875,111.0625,-44.375,81.8125,93081.5,9245.65,4481.222727272727,176.75,-1681.0,-747.0,-58.0,-975.0,-490.0,-397.0,-212.75,-6.4375,-221.0625,3.375,-84.5,-81.3125,93069.25,OPENFRIDGE
9370.95806451613,4544.174340175952,331.4755131964809,-883.9354838709677,-322.2258064516129,-7.548387096774194,-55.67741935483871,-65.0,-42.12903225806452,-1.4556451612903225,42.891129032258064,-26.552419354838708,74.13709677419355,-59.766129032258064,50.038306451612904,93081.94354838709,9423.4,4601.65,346.45,-835.0,-314.0,-20.0,-72.0,-71.0,-65.0,-9.5625,37.9375,-24.8125,102.4375,-61.5625,80.6875,93080.75,305.10073448419575,117.65677620511828,98.0998864350206,254.10325138728825,414.1105898732382,298.30653571001733,257.1371083160077,259.6498924834491,246.81298479287022,106.83806159122268,66.777181122617,107.06311550802616,40.73342076894994,14.352654441465837,67.72419303501981,12.303744294153466,9700.0,4650.0,200.0,-1681.0,-1466.0,134.0,-248.0,-80.0,-397.0,-212.75,-125.9375,-221.0625,3.375,-84.5,-81.3125,93073.25,9745.8,4690.422727272728,461.2090909090909,-484.0,688.0,511.0,443.0,421.0,410.0,249.4375,177.1875,160.1875,111.0625,-35.4375,128.625,93105.0,8923.4,4318.295454545454,176.75,-1681.0,-1466.0,-487.0,-975.0,-765.0,-641.0,-212.75,-125.9375,-221.0625,3.375,-84.5,-81.3125,93069.25,OPENFRIDGE
9164.735483870967,4384.319794721408,381.85263929618776,-647.741935483871,-582.2258064516129,-395.38709677419354,-3.4193548387096775,-63.87096774193548,-8.290322580645162,-28.318548387096776,6.993951612903226,-12.695564516129032,109.73790322580645,-43.47379032258065,120.55040322580645,93084.92741935483,9152.45,4345.8,372.5,-632.0,-574.0,-437.0,-60.0,-51.0,25.0,-7.625,11.6875,-0.8125,106.8125,-35.0,131.1875,93081.25,175.26387686074415,128.65662758021685,51.10321835937749,200.71206038202016,324.69131080432066,225.03180181467013,178.3798894108766,254.4419700620011,209.0644547419746,49.379489128306915,57.66825779394803,45.01114370681663,6.279999240206104,16.80527086054362,22.371749178155973,10.533516654863158,8950.0,4350.0,350.0,-632.0,-523.0,-662.0,-72.0,-142.0,-641.0,-152.0,-125.9375,-135.3125,113.6875,-31.5,70.25,93075.5,9519.8,4636.1,461.2090909090909,43.0,151.0,235.0,546.0,421.0,410.0,50.0,165.9375,69.25,121.125,-29.0625,143.4375,93105.0,8923.4,4255.295454545454,300.1,-1177.0,-1466.0,-662.0,-248.0,-864.0,-641.0,-152.0,-125.9375,-135.3125,100.875,-76.1875,70.25,93073.25,OPENFRIDGE
9241.920967741935,4319.396774193549,409.1101173020528,-785.0645161290323,-452.6774193548387,-86.93548387096774,-32.70967741935484,-123.29032258064517,-26.64516129032258,2.3911290322580645,-55.659274193548384,34.13508064516129,86.60685483870968,-51.09274193548387,72.37298387096774,93080.66129032258,9175.9,4257.3,402.55,-732.0,-628.0,-153.0,-25.0,-145.0,1.0,11.8125,-47.0625,13.5625,108.0,-49.1875,99.75,93081.25,226.96585527864218,112.27912312289988,56.171203428815986,263.1042804015005,388.54243758751966,334.1715064138843,277.8283875042753,186.45378221753992,188.8296495763835,82.68883843673298,71.25637917113559,118.96964565678765,44.022559301868846,11.808441443074361,65.34488926527764,6.387014295655147,9000.0,4250.0,350.0,-592.0,-702.0,-337.0,-74.0,-263.0,62.0,105.0625,-40.6875,-184.0625,111.5625,-77.625,-52.25,93074.0,9571.75,4577.4,522.95,-351.0,329.0,429.0,430.0,328.0,345.0,105.0625,118.5625,322.0,131.875,-36.1875,132.375,93091.5,8954.95,4211.7,338.3,-1488.0,-980.0,-559.0,-859.0,-488.0,-614.0,-218.4375,-204.1875,-184.0625,2.0625,-77.625,-52.25,93074.0,OPENFRIDGE
9260.435483870968,4515.396774193549,418.96290322580654,-849.7096774193549,-200.74193548387098,320.48387096774195,-55.16129032258065,-213.74193548387098,-40.645161290322584,-18.818548387096776,-39.582661290322584,23.22983870967742,51.8125,-55.328629032258064,7.213709677419355,93082.46774193548,9160.65,4577.4,415.1,-846.0,-52.0,413.0,-15.0,-209.0,-35.0,0.5,-32.0,-15.4375,40.6875,-54.8125,-10.5625,93082.0,268.03264794720695,196.76107166454617,48.775316448216465,237.79882163268275,354.06759879453676,282.8974927387118,262.30009490075724,159.8422071381514,146.50632486622018,68.34246322679563,83.9987605115285,125.16559696380811,39.21325243672943,8.494084457204853,52.30107345883292,6.527742697991611,9000.0,4250.0,400.0,-915.0,13.0,-500.0,-859.0,-67.0,-614.0,-218.4375,14.6875,-184.0625,42.625,-54.875,-9.75,93082.0,9705.5,4755.8,522.95,-351.0,329.0,684.0,430.0,28.0,345.0,59.25,149.8125,322.0,131.875,-39.1875,99.75,93089.75,8954.95,4218.0,345.0,-1488.0,-980.0,-500.0,-859.0,-573.0,-614.0,-218.4375,-204.1875,-184.0625,2.0625,-77.625,-52.25,93064.5,OPENFRIDGE
9532.484999999999,4652.9416666666675,414.90999999999997,-902.0,-50.766666666666666,297.6666666666667,-70.4,-137.6,-18.466666666666665,28.139583333333334,41.4125,-19.502083333333335,90.67291666666667,-58.96875,-5.554166666666666,93082.03333333334,9574.45,4646.549999999999,417.225,-841.5,-65.5,317.0,-31.5,-201.5,-28.5,3.03125,13.8125,-15.59375,42.625,-55.09375,-11.25,93083.5,168.26789659903073,54.93342064738904,46.25415992475517,261.3236861930377,352.9348560905797,260.6719874813388,241.75131137539697,212.7345115720369,164.57651680922606,82.6916525258125,65.03003823499436,111.85025791147513,109.34047199254793,10.091109067878891,64.35331642960217,9.46197775248419,9700.0,4650.0,400.0,-915.0,-476.0,-274.0,-688.0,-67.0,-27.0,-118.0625,14.6875,-212.4375,42.625,-54.875,-9.75,93089.75,9708.9,4755.8,503.8,-459.0,996.0,684.0,297.0,428.0,324.0,246.5625,234.1875,182.25,358.5,-47.25,175.625,93089.75,9160.65,4543.5,331.9,-1663.0,-484.0,-274.0,-688.0,-573.0,-590.0,-118.0625,-38.8125,-212.4375,0.8125,-85.5625,-91.5625,93064.5,OPENFRIDGE
9307.537096774193,4494.427419354838,450.9621700879765,-851.6774193548387,-331.83870967741933,-19.483870967741936,-59.41935483870968,-95.48387096774194,24.741935483870968,0.6633064516129032,33.53629032258065,-41.346774193548384,121.89717741935483,-58.05040322580645,53.07056451612903,93078.25806451614,9263.7,4543.6,453.5045454545455,-769.0,-397.0,-131.0,-46.0,-38.0,-27.0,-1.9375,30.8125,-37.3125,101.5,-57.25,72.75,93083.5,287.7629180325771,154.27039510694087,63.703421923162956,311.6185047026545,517.9776762740645,435.7516778294523,305.5486621574975,291.7385668674086,407.927033323521,101.20940760042002,78.06964167724163,107.03792994812935,96.39339365706452,16.934589382099663,79.78216883518333,9.757579077945799,9700.0,4650.0,450.0,-742.0,-1396.0,-509.0,-91.0,-1257.0,-590.0,-163.75,-136.0625,-212.4375,0.8125,-85.5625,-91.5625,93074.75,9708.9,4660.65,572.9,-400.0,996.0,1883.0,436.0,428.0,1884.0,246.5625,234.1875,182.25,358.5,-34.0,175.625,93089.75,8917.3,4206.4,331.9,-1663.0,-1396.0,-509.0,-688.0,-1257.0,-590.0,-163.75,-136.0625,-212.4375,0.8125,-85.5625,-91.5625,93063.5,OPENFRIDGE
9242.796774193548,4383.365249266863,465.366129032258,-743.516129032258,-478.6774193548387,13.258064516129032,-28.35483870967742,-99.12903225806451,2.7419354838709675,11.71774193548387,-53.483870967741936,33.43346774193548,86.25201612903226,-47.604838709677416,62.80241935483871,93079.34677419355,9186.3,4334.013636363637,460.75,-711.0,-709.0,-65.0,-13.0,-129.0,31.0,11.25,-57.5625,-2.1875,107.9375,-48.8125,83.6875,93075.75,203.03730032331646,102.64344458857938,56.2686063850539,209.66956081220468,466.1241885375452,355.0490076728315,224.18586758715736,174.36661414683792,223.92260087538216,76.68232608016346,80.67665168446278,117.1475942448909,46.652894593205374,10.919179741313826,64.35011269895554,11.294297495372541,9000.0,4300.0,400.0,-711.0,-1118.0,-831.0,-94.0,-145.0,-649.0,-202.4375,-302.9375,-23.375,117.3125,-53.6875,-56.0,93064.5,9536.05,4630.2,577.05,-392.0,536.0,537.0,417.0,397.0,408.0,146.0625,125.3125,298.1875,131.75,-30.875,131.125,93096.75,8978.25,4284.513636363637,377.25,-1260.0,-1118.0,-831.0,-549.0,-405.0,-649.0,-202.4375,-302.9375,-138.5625,3.3125,-75.6875,-56.0,93064.5,OPENFRIDGE
9273.393333333335,4563.604242424243,431.35333333333324,-818.7333333333333,-128.0,415.06666666666666,-48.333333333333336,-152.0,6.166666666666667,-14.022916666666667,-45.81041666666667,30.583333333333332,45.83541666666667,-52.53125,-0.8708333333333333,93079.975,9182.925,4633.65,430.9,-835.5,-68.0,445.0,-24.0,-145.0,-9.5,-7.34375,-21.84375,-2.78125,36.65625,-53.34375,-15.5625,93080.0,249.42448816996804,147.8636331013152,89.05266258031637,147.29303032258247,440.9937054832666,210.7174825952141,182.36593249105857,171.9306195272805,152.79399774574404,58.23460301201472,74.64530979642917,120.30884995956013,34.91994571382678,8.824509577806186,45.14298384755841,7.563053912458817,9000.0,4700.0,350.0,-743.0,-1118.0,-162.0,-549.0,-145.0,-324.0,-202.4375,-302.9375,-138.5625,3.3125,-55.125,-14.1875,93075.75,9640.35,4715.9,577.05,-421.0,536.0,714.0,315.0,244.0,408.0,101.0,57.1875,298.1875,130.625,-30.875,80.6875,93096.75,8978.25,4312.463636363636,311.6,-1065.0,-1118.0,-162.0,-549.0,-428.0,-324.0,-202.4375,-302.9375,-138.5625,3.3125,-75.6875,-56.0,93071.25,OPENFRIDGE
9521.212903225807,4679.273167155426,342.8972140762463,-908.1935483870968,-90.54838709677419,326.1290322580645,-65.25806451612904,-130.80645161290323,-35.774193548387096,21.050403225806452,43.10685483870968,-9.965725806451612,49.20161290322581,-60.024193548387096,5.304435483870968,93077.12096774194,9574.15,4681.0,338.55,-839.0,-108.0,371.0,9.0,-137.0,-23.0,-2.3125,33.9375,1.8125,37.25,-56.1875,-15.1875,93077.75,140.45062416364328,26.348059723202798,33.72529079526366,204.83528656863766,306.4988133429641,302.76335554747305,207.28948642609856,175.1508719846671,195.88937518872217,87.86465446947551,53.29667651445593,100.27683275395158,34.02017519397122,10.317090864739455,55.19860859776297,3.8067215595914106,9650.0,4700.0,350.0,-788.0,54.0,612.0,-719.0,-95.0,-470.0,-2.3125,-35.75,-222.0,7.0625,-55.125,-14.1875,93077.0,9674.6,4715.9,399.52727272727276,-718.0,552.0,714.0,191.0,244.0,416.0,276.8125,202.5,179.8125,120.0,-48.1875,175.625,93080.75,9196.5,4622.022727272727,264.8,-1487.0,-857.0,-342.0,-719.0,-428.0,-470.0,-148.0625,-35.75,-222.0,7.0625,-85.0625,-66.5625,93065.75,OPENFRIDGE
